"","Talaromyces_marneffei","Kluyveromyces_lactis","Yarrowia_lipolytica","Candida_glabrata","Aspergillus_fumigatus","Aspergillus_clavatus","Aspergillus_niger","Schizosaccharomyces_pombe","Talaromyces_stipitatus","Uncinocarpus_reesii","Clavispora_lusitaniae","Blastomyces_gilchristii","Schizosaccharomyces_cryophilus","Aspergillus_flavus","Candida_tropicalis","Debaryomyces_hansenii","Candida_dubliniensis","Komagataella_phaffii","Cryptococcus_neoformans","Encephalitozoon_cuniculi","Lachancea_thermotolerans","Schizophyllum_commune","Chaetomium_globosum","Botrytis_cinerea","Saccharomyces_cerevisiae","Encephalitozoon_intestinalis","Parastagonospora_nodorum","Sclerotinia_sclerotiorum","Colletotrichum_graminicola","Aspergillus_nidulans","Coccidioides_immitis","Meyerozyma_guilliermondii","Fusarium_verticillioides","Histoplasma_capsulatum","Aspergillus_terreus","Aspergillus_fischeri","Lodderomyces_elongisporus","Puccinia_graminis","Fusarium_oxysporum","Pyrenophora_tritici-repentis","Vanderwaltozyma_polyspora","Schizosaccharomyces_octosporus","Verticillium_dahliae","Paracoccidioides_lutzii","Paracoccidioides_brasiliensis","Nannizzia_gypsea","Trichophyton_benhamiae","Microsporum_canis","Coccidioides_posadasii","Nectria_haematococca","Trichophyton_rubrum","Trichophyton_verrucosum","Trichoderma_reesei","Trichoderma_atroviride","Malassezia_globosa","Sordaria_macrospora","Coprinopsis_cinerea","Neurospora_crassa","Candida_albicans","Aspergillus_oryzae","Cryptococcus_gattii_VGI","Metarhizium_robertsii","Scheffersomyces_stipitis","Neurospora_tetrasperma","Serpula_lacrymans","Chaetomium_thermophilum","Yamadazyma_tenuis","Spathaspora_passalidarum","Arthrobotrys_oligospora","Cordyceps_militaris","Thermothelomyces_thermophilus","Podospora_anserina","Naumovozyma_dairenensis","Leptosphaeria_maculans","Exophiala_dermatitidis","Vittaforma_corneae","Eremothecium_cymbalariae","Naumovozyma_castellii","Fusarium_graminearum","Torulaspora_delbrueckii","Wallemia_mellicola","Stereum_hirsutum","Punctularia_strigosozonata","Trametes_versicolor","Coniophora_puteana","Tremella_mesenterica","Coniosporium_apollinis","Trichosporon_asahii","Agaricus_bisporus","Fusarium_pseudograminearum","Kazachstania_africana","Wickerhamomyces_ciferrii","Penicillium_digitatum","Candida_orthopsilosis","Tetrapisispora_blattae","Sphaerulina_musiva","Heterobasidion_irregulare","Rhodotorula_toruloides","Ustilago_maydis","Baudoinia_panamericana","Gloeophyllum_trabeum","Pneumocystis_murina","Malassezia_sympodialis","Cyphellophora_europaea","Cladophialophora_carrionii","Phaeoacremonium_minimum","Wallemia_ichthyophaga","Pseudozyma_hubeiensis","Glarea_lozoyensis","Anthracocystis_flocculosa","Rhizophagus_irregularis","Kalmanozyma_brasiliensis","Kwoniella_pini","Pestalotiopsis_fici","Bipolaris_zeicola","Bipolaris_oryzae","Bipolaris_victoriae","Cladophialophora_yegresii","Cladophialophora_psammophila","Capronia_coronata","Tilletiaria_anomala","Aureobasidium_subglaciale","Aureobasidium_namibiae","Aureobasidium_pullulans","Scedosporium_apiospermum","Moesziomyces_antarcticus","Mitosporidium_daphniae","Penicillium_expansum","Metarhizium_brunneum","Fonsecaea_pedrosoi","Cladophialophora_bantiana","Cladophialophora_immunda","Exophiala_xenobiotica","Exophiala_oligosperma","Rhinocladiella_mackenziei","Exophiala_spinifera","Exophiala_mesophila","Verruconis_gallopava","Lachancea_lanzarotensis","Sporothrix_schenckii","Rasamsonia_emersonii","Cutaneotrichosporon_oleaginosum","Aspergillus_nomiae","Malassezia_pachydermatis","Rhodotorula_graminis","Kluyveromyces_marxianus","Debaryomyces_fabryi","Pneumocystis_jirovecii","Pneumocystis_carinii","Trichoderma_gamsii","Phialocephala_scopiformis","Xylona_heveae","Phycomyces_blakesleeanus","Sugiyamaella_lignohabitans","Alternaria_alternata","Fonsecaea_monophora","Fonsecaea_nubica","Fonsecaea_erecta","Purpureocillium_lilacinum","Pichia_membranifaciens","Wickerhamomyces_anomalus","Saitoella_complicata","Babjeviella_inositovora","Ascoidea_rubescens","Hyphopichia_burtonii","Cyberlindnera_jadinii","Suhomyces_tanzawaensis","Metschnikowia_bicuspidata","Ogataea_polymorpha","Colletotrichum_higginsianum","Cryptococcus_wingfieldii","Cryptococcus_amylolentus","Aspergillus_bombycis","Aspergillus_glaucus","Aspergillus_aculeatus","Talaromyces_atroroseus","Kockovaella_imperatae","Aspergillus_thermomutatus","Rhizopus_microsporus","Candida_auris","Aspergillus_candidus","Aspergillus_novofumigatus","Aspergillus_campestris","Aspergillus_steynii","Candida_haemuloni","Candida_duobushaemulonis","Candida_pseudohaemulonis","Trichoderma_harzianum","Trichoderma_asperellum","Trichoderma_citrinoviride","Pichia_kudriavzevii","Tilletiopsis_washingtonensis","Pseudomicrostroma_glucosiphilum","Aspergillus_neoniger","Aspergillus_brunneoviolaceus","Aspergillus_uvarum","Aspergillus_piperis","Aspergillus_aculeatinus","Aspergillus_japonicus","Aspergillus_ibericus","Aspergillus_homomorphus","Aspergillus_vadensis","Malassezia_restricta","Aspergillus_welwitschiae","Aspergillus_mulundensis","Aspergillus_tanneri","Byssochlamys_spectabilis","Alternaria_arborescens","Pyricularia_pennisetigena","Sporisorium_graminicola","Diutina_rugosa","Aspergillus_alliaceus","Aspergillus_pseudotamarii","Aspergillus_caelatus","Aspergillus_pseudonomius","Eremomyces_bilateralis","Macroventuria_anomochaeta","Aspergillus_lentulus","Arthroderma_uncinatum","Fusarium_venenatum","Fusarium_proliferatum","Ramularia_collo-cygni","Fusarium_fujikuroi","Encephalitozoon_hellem"
"13767.58cfa83ce4b0c9d6adf73032",52,6,0,4,3,5,3,1,1,4,2,17,0,2,15,9,10,0,0,0,7,0,2,1,69,0,32,4,1,3,3,55,4,5,3,42,15,1,5,0,7,0,1,4,5,1,6,1,2,0,3,0,2,1,23,11,2,18,11,4,0,3,24,2,4,0,0,15,0,2,4,3,4,5,0,0,3,5,0,9,0,3,3,1,2,1,0,0,8,0,3,8,6,17,2,2,3,0,0,1,3,0,2,0,0,0,13,1,2,0,82,0,0,3,2,0,0,0,2,0,0,4,0,0,0,1,0,5,8,0,0,0,1,2,0,1,0,7,5,1,0,0,1,3,2,6,48,0,0,6,1,1,1,6,1,1,1,2,0,0,4,1,0,0,4,4,0,1,7,2,0,0,1,6,1,1,1,8,0,8,0,5,4,10,1,3,1,0,7,1,3,0,1,2,19,4,14,7,27,2,10,13,151,26,2,4,3,8,40,1,8,9,42,0,162,0,3,1,1,0,4,17,0,0
"13767.58cfa830e4b0c9d6adf6c0c5",25,4,0,2,1,3,2,1,1,1,1,6,0,1,7,4,5,0,0,0,3,0,2,0,36,0,14,3,0,1,1,25,4,2,0,20,7,0,1,0,3,0,0,1,1,0,2,0,1,0,1,0,1,1,9,5,1,9,5,2,0,3,11,0,2,0,0,7,0,1,1,1,1,2,0,0,1,2,0,4,0,2,2,0,1,0,0,0,2,0,2,4,3,8,1,1,2,0,0,1,2,0,1,0,0,0,7,0,1,0,40,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,2,4,23,0,0,3,1,0,0,3,1,0,0,1,0,0,2,0,0,0,2,2,0,1,2,1,0,0,0,3,0,0,0,4,0,3,0,2,2,4,0,1,0,0,1,0,1,0,0,0,8,1,5,3,12,1,4,5,72,12,1,1,1,2,14,0,3,4,20,0,79,0,2,0,0,0,2,6,0,0
"13767.58cfa83ce4b0c9d6adf72f55",1,1,0,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,1,0,1,0,1,1,8,0,13,1,0,0,0,1,0,2,0,4,0,1,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0,0,31,2,0,4,0,1,3,3,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,2,2,4,1,1,0,1,2,0,0,7,1,0,0,1,3,0,0,1,2,0,6,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,8,15,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,3,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,2,2,2,1,1,2,1,2,4,79,3,0,1,2,1,5,1,1,2,8,0,18,0,1,0,0,1,2,24,0,0
"13767.58cfa830e4b0c9d6adf6c092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,1,0,0,1,0,0,1,2,0,4,0,0,0,0,1,1,7,0,0
"13767.58cfa830e4b0c9d6adf6c0b4",2,0,20,0,6,11,7,0,4,2,11,24,0,2,0,8,0,10,0,0,0,0,3,138,35,0,13,3,0,3,1,55,1,2,6,16,0,2,1,1,0,0,0,4,5,8,10,0,1,0,4,3,0,6,55,9,2,16,0,8,2,3,0,0,1,1,0,0,1,1,2,0,0,4,2,0,0,0,1,0,10,0,1,2,0,0,0,1,1,0,0,3,54,6,10,1,5,0,0,6,0,2,15,0,0,0,3,0,1,4,84,0,0,3,4,1,0,0,0,0,0,0,0,44,2,0,0,7,5,1,0,0,2,4,0,0,0,8,0,0,0,0,2,8,7,0,1,0,0,9,0,0,0,0,4,1,1,1,0,0,0,1,0,0,9,0,0,0,1,4,0,0,2,3,4,2,1,9,0,7,0,12,13,20,1,4,2,1,8,1,1,0,2,1,20,6,17,11,20,2,11,29,251,46,5,5,9,6,42,1,5,16,67,0,162,0,2,3,1,2,3,61,2,0
"13767.58cfa83ce4b0c9d6adf72fbb",2,0,16,0,9,10,6,0,4,3,14,28,0,2,0,8,0,6,1,0,0,0,2,131,37,0,14,3,0,3,1,39,1,3,7,16,0,2,2,1,0,1,0,4,5,8,9,1,1,0,4,3,0,4,51,9,2,16,0,8,2,3,0,0,1,1,0,0,1,2,1,0,0,5,2,0,0,0,1,0,10,0,0,3,1,0,0,1,2,0,0,3,49,7,10,1,4,0,0,5,0,2,16,0,0,1,3,0,1,2,85,0,0,2,4,1,0,0,0,0,0,0,0,37,3,0,0,7,5,0,0,0,2,2,0,0,0,8,0,0,0,0,2,8,7,0,1,0,0,7,0,0,0,0,5,0,1,1,0,0,0,0,0,0,8,0,0,0,1,4,0,0,2,3,4,2,2,10,0,6,0,12,13,19,1,4,3,1,8,1,1,0,2,2,19,6,20,14,20,2,10,25,237,47,6,5,10,7,42,1,4,17,70,0,168,0,2,3,1,2,4,58,2,0
"13767.58cfa832e4b0c9d6adf6d070",0,0,2,0,1,0,2,0,2,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,4,0,12,0,0,2,0,2,0,0,0,5,0,0,0,11,1,0,0,1,0,0,2,0,0,0,1,0,0,0,642,6,0,3,0,2,0,4,0,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,1,6,0,2,5,165,9,0,0,1,6,4,0,0,2,11,0,22,0,0,0,0,1,2,17,0,0
"13767.58cfa83ce4b0c9d6adf73006",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,0,3,48,2,0,1,0,1,0,0,0,1,4,0,8,0,0,0,0,0,1,6,0,0
"13767.58cfa830e4b0c9d6adf6c0ad",0,1,0,0,0,2,2,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,4,0,6,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,3,0,3,1,3,0,1,2,66,5,0,1,0,0,9,0,0,2,9,0,31,0,0,0,0,1,0,1,0,0
"13767.58cfa83ce4b0c9d6adf731dc",1,0,0,0,0,2,2,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,4,0,6,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,2,0,3,1,3,0,1,2,65,5,0,1,0,0,6,0,0,2,8,0,27,0,0,0,0,1,0,1,0,0
"13767.58cfa830e4b0c9d6adf6c08c",0,0,0,0,15,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,273,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,58,7,0,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0,50,16,0,0
"13767.58cfa830e4b0c9d6adf6c0da",0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,4,1,5,0,2,3,12,10,0,0,0,0,7,0,1,5,8,0,25,0,0,0,0,1,1,2,0,0
"13767.58cfa83ce4b0c9d6adf731d1",0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,5,1,6,0,2,2,14,9,1,1,0,0,7,0,1,3,7,0,24,0,0,1,0,1,1,2,0,0
"13767.58cfa83ce4b0c9d6adf72f57",0,0,0,0,15,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,273,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,58,7,0,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0,50,16,0,0
"13767.58cfa83ce4b0c9d6adf72fda",0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,2,1,1,0,3,1,0,4,44,4,0,0,1,2,6,0,1,1,3,0,18,0,0,0,0,0,1,0,0,0
"13767.58cfa830e4b0c9d6adf6c084",1,1,0,0,0,0,1,0,3,0,0,1,0,0,17,0,132,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,814,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,3,0,1,0,0,0,1,0,1,1,1,0,0,3,10,12,0,2,1,0,7,0,1,4,12,0,23,0,0,0,0,1,2,0,0,0
"13767.58cfa830e4b0c9d6adf6c0b0",0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,1,1,3,35,7,1,0,1,2,7,0,1,2,5,0,17,0,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf72e76",1,0,2,0,0,0,0,0,5,0,0,1,0,0,13,1,121,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,789,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,4,12,11,0,3,0,0,6,0,3,4,9,0,23,0,0,0,0,1,1,1,0,0
"13767.58cfa83ce4b0c9d6adf73174",0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,4,0,2,1,6,0,12,0,0,0,0,0,0,0,0,0
"13767.58cfa832e4b0c9d6adf6cea6",0,0,0,0,0,0,4,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,8,0,1,0,4,0,0,0,1,0,4,0,0,2,0,3,1,0,0,0,1,1,3,7,1,6,1,1,7,10,25,0,2,1,0,22,0,4,6,26,0,62,0,0,0,0,1,2,0,0,0
"13767.58cfa83ce4b0c9d6adf731ce",0,11,0,0,1,0,2,0,17,0,0,1,0,0,0,11,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,10,8,0,1,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,8,1,0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,4,0,1,1,0,7,3,0,0,0,4,0,2,11,2,7,1,3,5,59,27,0,1,2,2,21,0,6,8,29,0,47,0,0,0,0,3,2,102,1,0
"13767.58cfa831e4b0c9d6adf6c49c",0,30,0,0,2,0,6,0,46,0,0,8,0,2,0,22,0,0,0,0,0,0,2,10,2,0,2,1,0,5,0,16,20,1,3,9,3,0,11,0,0,0,0,5,1,0,10,0,0,0,2,0,1,0,6,2,0,15,0,5,0,2,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,0,28,0,0,0,0,0,0,0,7,1,0,1,2,4,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,61,0,0,7,1,0,0,0,0,0,0,0,3,0,1,2,0,9,2,0,0,0,0,4,3,0,0,5,0,0,0,0,0,24,3,3,32,0,0,5,0,1,0,0,1,0,0,1,0,0,2,0,0,1,8,10,0,0,0,2,0,0,0,10,0,2,0,6,0,6,0,0,0,9,0,2,3,1,12,6,0,0,0,6,6,4,25,7,18,3,6,15,158,83,5,3,5,5,71,0,14,24,84,0,144,0,1,0,0,11,6,220,3,0
"13767.58cfa830e4b0c9d6adf6c0bb",0,0,4,0,0,1,1,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,13,0,7,0,1,1,1,0,1,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11,2,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,1,0,4,1,0,0,0,0,0,1,0,1,0,1,0,1,3,63,4,0,1,1,2,6,1,2,1,4,0,14,0,0,0,0,1,2,9,1,0
